DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON,Premis Desc
02/20/2025 12:00:00 AM,1450,Southwest,VEHICLE - STOLEN,0,,600 W  35TH                         ST,34.023,-118.2869,HOSPITAL
02/06/2025 12:00:00 AM,2130,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,11200    GOTHIC                       AV,34.2737,-118.4887,HIGH SCHOOL
03/01/2025 12:00:00 AM,1200,Southwest,VEHICLE - STOLEN,0,,3600    WATT                         WY,34.0228,-118.2862,STREET
02/17/2025 12:00:00 AM,1345,Northeast,TRESPASSING,0,X,5200    ZOO                          DR,34.1538,-118.3092,PARK/PLAYGROUND
02/02/2025 12:00:00 AM,2040,Northeast,THEFT PLAIN - PETTY ($950 & UNDER),33,M,2800 E  OBSERVATORY                  RD,34.1192,-118.3004,PARK/PLAYGROUND
02/21/2025 12:00:00 AM,1330,Harbor,BATTERY - SIMPLE ASSAULT,15,F,1500    LAKME                        AV,33.7935,-118.2607,STREET
02/14/2025 12:00:00 AM,800,Southwest,VEHICLE - STOLEN,0,,3100    MCCLINTOCK                   AV,34.0274,-118.285,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
02/09/2025 12:00:00 AM,1200,West Valley,TRESPASSING,0,M,6300    WOODLEY                      AV,34.1822,-118.4836,PARK/PLAYGROUND
01/23/2025 12:00:00 AM,1249,Southwest,VEHICLE - STOLEN,0,,3100    MCCLINTOCK                   AV,34.0274,-118.285,STREET
02/05/2025 12:00:00 AM,1755,Southwest,VEHICLE - STOLEN,0,,600    CHILDS                       WY,34.0189,-118.2819,STREET
01/24/2025 12:00:00 AM,1600,Central,CHILD NEGLECT (SEE 300 W.I.C.),4,F,1400 S  GRAND                        AV,34.0372,-118.2654,HOSPITAL
01/16/2025 12:00:00 AM,1200,77th Street,VEHICLE - STOLEN,0,,8500    TOWNE                        AV,33.961,-118.2673,PARKING LOT
01/22/2025 12:00:00 AM,251,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGE                 BL,33.7626,-118.2687,SLIPS/DOCK/MARINA/BOAT
02/26/2025 12:00:00 AM,928,Devonshire,BATTERY - SIMPLE ASSAULT,12,F,10100    VARIEL                       AV,34.2536,-118.593,JUNIOR HIGH SCHOOL
01/21/2025 12:00:00 AM,128,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGE                 BL,33.7626,-118.2687,STREET
01/24/2025 12:00:00 AM,1400,Harbor,BATTERY - SIMPLE ASSAULT,13,F,3700    STEPHEN M WHITE              DR,33.7108,-118.2862,PARK/PLAYGROUND
02/05/2025 12:00:00 AM,1900,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,700 W  EXPOSITION                   BL,34.0183,-118.2832,STREET
02/10/2025 12:00:00 AM,1415,Mission,EXTORTION,13,M,15000    ROSCOE                       BL,34.2215,-118.4592,DRIVEWAY
03/19/2025 12:00:00 AM,850,West LA,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,11800    TEXAS                        AV,34.0458,-118.4614,HIGH SCHOOL
01/24/2025 12:00:00 AM,1500,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,F,13000    HARDING                      ST,34.303,-118.421,ELEMENTARY SCHOOL
01/27/2025 12:00:00 AM,1830,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,3400 S  FIGUEROA                     ST,34.0215,-118.2868,STREET
01/14/2025 12:00:00 AM,1955,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
01/28/2025 12:00:00 AM,1700,Southwest,VEHICLE - STOLEN,0,,3000 S  ROYAL                        ST,34.0263,-118.2808,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/15/2025 12:00:00 AM,2242,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGE                 BL,33.7626,-118.2687,STREET
02/17/2025 12:00:00 AM,1800,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,3300 S  FIGUEROA                     ST,34.0268,-118.2808,STREET
02/07/2025 12:00:00 AM,1700,Devonshire,BURGLARY,0,X,11200    GOTHIC                       AV,34.2737,-118.4887,HIGH SCHOOL
01/29/2025 12:00:00 AM,2122,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
03/11/2025 12:00:00 AM,2100,Topanga,OTHER MISCELLANEOUS CRIME,0,M,21000    VENTURA                      BL,34.1667,-118.5908,STREET
02/22/2025 12:00:00 AM,1200,Southwest,VEHICLE - STOLEN,0,,3600    MCCLINTOCK                   AV,34.0212,-118.2895,ELEMENTARY SCHOOL
02/26/2025 12:00:00 AM,430,Foothill,BURGLARY FROM VEHICLE,40,M,13500    CORNELIUS                    ST,34.2781,-118.426,STREET
02/06/2025 12:00:00 AM,30,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
02/04/2025 12:00:00 AM,1645,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,MCCLINTOCK                   AV,34.0252,-118.287,STREET
01/24/2025 12:00:00 AM,1020,Hollenbeck,BATTERY - SIMPLE ASSAULT,18,M,400 S  MATHEWS                      ST,34.0401,-118.2107,HIGH SCHOOL
02/04/2025 12:00:00 AM,2140,Pacific,VEHICLE - STOLEN,0,,6100    WESTCHESTER PKWY,33.9526,-118.3893,STREET
03/18/2025 12:00:00 AM,2100,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,1300 W  35TH                         PL,34.0237,-118.2977,STREET
03/14/2025 12:00:00 AM,1800,West Valley,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,17400    LORNE                        ST,34.2171,-118.5118,ELEMENTARY SCHOOL
03/26/2025 12:00:00 AM,1645,Southwest,VEHICLE - STOLEN,0,,3100 S  FIGUEROA                     ST,34.0268,-118.2808,PARKING LOT
02/03/2025 12:00:00 AM,2230,Southeast,ARSON,0,X,400 W  98TH                         ST,33.9472,-118.2802,ELEMENTARY SCHOOL
01/31/2025 12:00:00 AM,925,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24,X,5000    11TH                         AV,33.9977,-118.3294,HIGH SCHOOL
02/28/2025 12:00:00 AM,1900,Southwest,VEHICLE - STOLEN,0,,3200 S  HOOVER                       ST,34.0268,-118.2896,"BUS DEPOT/TERMINAL, OTHER THAN MTA"
03/12/2025 12:00:00 AM,1314,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,51,M,6200    WINNETKA                     AV,34.1823,-118.571,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
02/11/2025 12:00:00 AM,2230,West Valley,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,8200    VANALDEN                     AV,34.2193,-118.5492,HIGH SCHOOL
01/04/2025 12:00:00 AM,1200,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600    TERMINAL                     WY,33.743,-118.2625,PARKING LOT
03/12/2025 12:00:00 AM,1314,Topanga,CRIMINAL THREATS - NO WEAPON DISPLAYED,24,M,6200    WINNETKA                     AV,34.1823,-118.571,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
01/02/2025 12:00:00 AM,800,West Valley,ILLEGAL DUMPING,0,M,6300    WOODLEY                      AV,34.1822,-118.4836,PARK/PLAYGROUND
02/12/2025 12:00:00 AM,1430,Mission,VIOLATION OF COURT ORDER,36,M,14500    BLEDSOE                      ST,34.3199,-118.449,JUNIOR HIGH SCHOOL
02/07/2025 12:00:00 AM,900,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,M,400 S  MATHEWS                      ST,34.0401,-118.2107,HIGH SCHOOL
01/17/2025 12:00:00 AM,38,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGES                BL,33.7709,-118.2683,SLIPS/DOCK/MARINA/BOAT
